"Genes_core","PGFam_core"
"PGF_00065652","PTS system, ascorbate-specific IIB component (EC 2.7.1.194)"
"PGF_00065673","PTS system, ascorbate-specific IIA component"
"PGF_00419636","3-keto-L-gulonate-6-phosphate decarboxylase UlaD (EC 4.1.1.85)"
"PGF_00016216","L-ribulose-5-phosphate 3-epimerase UlaE (EC 5.1.3.22)"
"PGF_00016221","L-ribulose-5-phosphate 4-epimerase UlaF (EC 5.1.3.4)"
"PGF_01248546","Uncharacterized protein YjfY"
"PGF_00049901","SSU ribosomal protein S6p"
"PGF_00036674","Primosomal replication protein N"
"PGF_00049858","SSU ribosomal protein S18p @ SSU ribosomal protein S18p, zinc-independent"
"PGF_00016452","LSU ribosomal protein L9p"
"PGF_00947807","TRAP-type C4-dicarboxylate transport system, periplasmic component"
"PGF_02801842","TRAP-type C4-dicarboxylate transport system, large permease component"
"PGF_00171242","hypothetical protein"
"PGF_00054472","Succinate dehydrogenase flavoprotein subunit (EC 1.3.5.1)"
"PGF_00026174","Acetyl-CoA:acetoacetyl-CoA transferase alpha subunit (EC 2.8.3.-)"
"PGF_10553473","3-hydroxybutyryl-CoA dehydratase (EC 4.2.1.55)"
"PGF_03413537","hypothetical protein"
"PGF_07055250","Oxidoreductase, short-chain dehydrogenase/reductase family"
"PGF_00306411","Putative uncharacterized protein YtfA"
"PGF_01953726","Uncharacterized protein YtfB"
"PGF_00003752","FKBP-type peptidyl-prolyl cis-trans isomerase FklB (EC 5.2.1.8)"
"PGF_06196148","D-serine/D-alanine/glycine transporter"
"PGF_04019463","Repair of Iron Centers di-iron protein"
"PGF_00550785","Inner membrane protein YtfF"
"PGF_04591364","NAD(P)H dehydrogenase (quinone) 2 (EC 1.6.5.2)"
"PGF_00259412","Redox-sensing transcriptional regulator QorR"
"PGF_01756547","2',3'-cyclic-nucleotide 2'-phosphodiesterase (EC 3.1.4.16) / 3'-nucleotidase (EC 3.1.3.6)"
"PGF_02893929","3'(2'),5'-bisphosphate nucleotidase (EC 3.1.3.7)"
"PGF_02977268","Uncharacterized protein YtfJ"
"PGF_03848929","Uncharacterized protein YtfK"
"PGF_00064172","UPF0053 inner membrane protein YtfL"
"PGF_05083865","Peptide-methionine (S)-S-oxide reductase MsrA (EC 1.8.4.11)"
"PGF_07516252","Outer membrane component of TAM transport system"
"PGF_07075529","Inner membrane component of TAM transport system"
"PGF_00064212","UPF0131 protein YtfP"
"PGF_01922063","Inorganic pyrophosphatase (EC 3.6.1.1)"
"PGF_08113587","Galactofuranose ABC transporter, ATP-binding protein"
"PGF_04872915","Galactofuranose ABC transporter, permease protein 1"
"PGF_10285065","Galactofuranose ABC transporter, permease protein 2"
"PGF_00006380","Fructose-1,6-bisphosphatase, type I (EC 3.1.3.11)"
"PGF_00064004","UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase (EC 6.3.2.-)"
"PGF_01167975","UPF0307 protein YjgA"
"PGF_02960239","TldE protein, part of TldE/TldD proteolytic complex"
"PGF_00053521","Soluble cytochrome b562"
"PGF_01641254","Ribonucleotide reductase of class III (anaerobic), activating protein (EC 1.97.1.4)"
"PGF_00048627","Ribonucleotide reductase of class III (anaerobic), large subunit (EC 1.17.4.2)"
"PGF_00990926","Trehalose-6-phosphate hydrolase (EC 3.2.1.93)"
"PGF_03446029","PTS system, trehalose-specific IIB component (EC 2.7.1.201) / PTS system, trehalose-specific IIC component"
"PGF_04231551","Trehalose operon transcriptional repressor"
"PGF_01580528","Mg(2+) transport ATPase, P-type (EC 3.6.3.2)"
"PGF_00066960","Aspartate carbamoyltransferase regulatory chain (PyrI)"
"PGF_00066906","Aspartate carbamoyltransferase (EC 2.1.3.2)"
"PGF_00045775","PyrBI operon leader peptide"
"PGF_00049032","RidA/YER057c/UK114 superfamily, group 7, YjgH-like protein"
"PGF_00042688","Cyclic-di-GMP-binding biofilm dispersal mediator protein"
"PGF_00039366","Putative HTH-type transcriptional regulator YjgJ, TetR family"
"PGF_02942507","Protein YjgK, linked to biofilm formation"
"PGF_02346669","Ornithine carbamoyltransferase (EC 2.1.3.3)"
"PGF_00048539","Ribonuclease E inhibitor RraB"
"PGF_00766825","Uncharacterized N-acetyltransferase YjgM"
"PGF_00014189","Inner membrane protein YjgN"
"PGF_05500127","Valyl-tRNA synthetase (EC 6.1.1.9)"
"PGF_00645831","DNA polymerase III chi subunit (EC 2.7.7.7)"
"PGF_07629184","Cytosol aminopeptidase PepA (EC 3.4.11.1)"
"PGF_08461341","Lipopolysaccharide export system permease protein LptF"
"PGF_00409350","Lipopolysaccharide export system permease protein LptG"
"PGF_00497557","Uncharacterized protein YjgR"
"PGF_03058483","Prophage P4 integrase"
"PGF_00247946","Putative phosphoethanolamine transferase YjgX"
"PGF_01630730","Putative metabolite transport protein YjhB"
"PGF_01264994","Uncharacterized oxidoreductase YjhC"
"PGF_10351983","hypothetical protein"
"PGF_00036713","Probable 9-O-acetyl-N-acetylneuraminic acid deacetylase"
"PGF_03027834","N-acetylneuraminate epimerase (EC 5.1.3.24)"
"PGF_00023927","N-acetylneuraminic acid outer membrane channel protein NanC"
"PGF_01635965","hypothetical protein"
"PGF_00063159","Type 1 fimbriae regulatory protein FimB"
"PGF_00063160","Type 1 fimbriae regulatory protein FimE"
NA,"Type-1 fimbrial protein, A chain"
"PGF_00417435","Chaperone protein FimC"
"PGF_00028437","Outer membrane usher protein FimD"
"PGF_00037896","Protein FimF (regulates length and adhesion of type 1 fimbriae)"
"PGF_00037897","Protein FimG (regulates length and adhesion of type 1 fimbriae)"
"PGF_00037898","Protein FimH (regulates length and adhesion of type 1 fimbriae, and mediates mannose binding)"
"PGF_00006417","Fructuronate transporter GntP"
"PGF_06985891","Mannonate dehydratase (EC 4.2.1.8)"
"PGF_00066371","Uxu operon transcriptional regulator"
"PGF_00065615","Uncharacterized protein YjiC"
"PGF_00371473","hypothetical protein"
"PGF_00067380","YjiD protein"
"PGF_00017926","LysR-family transcriptional regulator YjiE"
"PGF_00015629","Isoaspartyl aminopeptidase (EC 3.4.19.5) @ Asp-X dipeptidase"
"PGF_00019882","Inner membrane protein YjiG"
"PGF_01519213","Uncharacterized protein YjiH"
"PGF_02075044","RNA:NAD 2'-phosphotransferase"
"PGF_03920678","Uncharacterized integral membrane protein YjiJ"
"PGF_00253854","Uncharacterized integral membrane protein YjiK"
"PGF_00245047","Hypothetical protein b4563"
"PGF_00065616","Uncharacterized protein YjiL"
"PGF_10352240","Uncharacterized protein YjiM"
"PGF_00364373","Uncharacterized inner membrane protein YjiN"
"PGF_02892204","Multidrug efflux pump MdtM (of MFS type)"
"PGF_00064557","Metal-binding GTPase YjiA"
"PGF_06956858","Uncharacterized proteins YbdD and YjiX"
"PGF_00416507","Pyruvate:H+ symporter BtsT"
"PGF_03149691","Methyl-accepting chemotaxis protein I (serine chemoreceptor protein)"
"PGF_03134101","L-galactonate transporter"
"PGF_00047185","Regulator of L-galactonate catabolism LgoR, GntR family"
"PGF_00016121","L-galactonate-5-dehydrogenase"
"PGF_00033595","Phosphatidylglycerol--membrane-oligosaccharide glycerophosphotransferase (EC 2.7.8.20)"
"PGF_00040952","Putative glycoprotein/receptor"
"PGF_03673574","DNA replication helicase loader DnaC/DnaI"
"PGF_00425736","FIG001826: putative inner membrane protein"
"PGF_00002688","FIG023911: putative membrane protein"
"PGF_00043638","Putative regulatory protein"
"PGF_00057576","Transcriptional activator protein bglJ"
"PGF_00004497","Ferric reductase (1.6.99.14)"
"PGF_00041548","Putative inner membrane protein"
"PGF_06407625","16S rRNA (guanine(1207)-N(2))-methyltransferase (EC 2.1.1.172)"
"PGF_04041069","DNA polymerase III psi subunit (EC 2.7.7.7)"
"PGF_01366266","Ribosomal-protein-S18p-alanine acetyltransferase (EC 2.3.1.128)"
"PGF_00425969","Pyrimidine 5'-nucleotidase YjjG (EC 3.1.3.5)"
"PGF_00080087","hypothetical protein"
"PGF_09229721","putative antirepressor"
"PGF_10530031","hypothetical protein"
"PGF_01638729","hypothetical protein"
"PGF_00030643","Peptide chain release factor 3"
"PGF_00027674","Osmotically inducible protein OsmY"
NA,"UPF0391 membrane protein YtjA"
"PGF_00399327","Uncharacterized protein YjjU"
"PGF_00040580","Putative deoxyribonuclease YjjV"
"PGF_00411483","Uncharacterized radical SAM protein YjjW"
"PGF_00375651","Uncharacterized glycyl radical protein YjjI"
"PGF_05026985","Deoxyribose-phosphate aldolase (EC 4.1.2.4)"
"PGF_00056876","Thymidine phosphorylase (EC 2.4.2.4)"
"PGF_00033904","Phosphopentomutase (EC 5.4.2.7)"
"PGF_00038987","Purine nucleoside phosphorylase (EC 2.4.2.1)"
"PGF_03116802","Phosphoserine phosphatase (EC 3.1.3.3)"
"PGF_00421792","DNA repair protein RadA"
"PGF_00025366","NadR transcriptional regulator / Nicotinamide-nucleotide adenylyltransferase, NadR family (EC 2.7.7.1) / Ribosylnicotinamide kinase (EC 2.7.1.22)"
"PGF_02059020","Energy-dependent translational throttle protein EttA"
"PGF_04582196","Soluble lytic murein transglycosylase (EC 4.2.2.n1)"
"PGF_00060287","Transcriptional repressor protein TrpR"
"PGF_02265871","Inosine/xanthosine triphosphatase"
"PGF_03932611","DNA-binding transcriptional dual regulator Rob"
"PGF_00419487","Conserved uncharacterized protein CreA"
"PGF_00047896","Response regulator CreB of two-component signal transduction system CreBC"
"PGF_00050981","Sensory histidine kinase CreC of two-component signal transduction system CreBC"
"PGF_00014116","Inner membrane protein CreD"
"PGF_00036567","Aerobic respiration control response regulator ArcA"
"PGF_00041653","Uncharacterized protein YjjY"
"PGF_00301071","hypothetical protein"
"PGF_08156917","hypothetical protein"
"PGF_10481881","hypothetical protein"
"PGF_00047597","Replication protein"
"PGF_00047622","Replication regulatory protein repA2 (Protein copB)"
"PGF_00067359","YihA"
"PGF_01651166","hypothetical protein"
"PGF_00021438","Micrococcal nuclease (thermonuclease) homologs"
"PGF_00290670","hypothetical protein"
"PGF_00013861","IncF plasmid conjugative transfer fertility inhibition protein FinO"
"PGF_00013864","IncF plasmid conjugative transfer pilin acetylase TraX"
"PGF_10387734","IncF plasmid conjugative transfer DNA-nicking and unwinding protein TraI"
"PGF_09290469","IncF plasmid conjugative transfer protein TraD"
"PGF_00956274","hypothetical protein"
"PGF_01642553","IncF plasmid conjugative transfer protein TraR"
"PGF_04419840","IncF plasmid conjugative transfer pilus assembly protein TraV"
"PGF_10366492","hypothetical protein"
"PGF_01627842","IncF plasmid conjugative transfer protein TraP"
"PGF_00467825","IncF plasmid conjugative transfer pilus assembly protein TraB"
"PGF_00013893","IncF plasmid conjugative transfer pilus assembly protein TraK"
"PGF_00013875","IncF plasmid conjugative transfer pilus assembly protein TraE"
"PGF_01246464","IncF plasmid conjugative transfer pilus assembly protein TraL"
"PGF_00013866","IncF plasmid conjugative transfer pilin protein TraA"
"PGF_03310245","IncF plasmid conjugative transfer regulator TraJ"
"PGF_00013863","IncF plasmid conjugative transfer mating signal transduction protein TraM"
"PGF_04180579","hypothetical protein"
"PGF_00038930","Plasmid SOS inhibition protein PsiA"
"PGF_00038932","Plasmid SOS inhibition protein PsiB"
"PGF_00037002","Probable chromosome partitioning protein parB"
"PGF_04664292","Retron-type RNA-directed DNA polymerase (EC 2.7.7.49)"
"PGF_00072490","hypothetical plasmid protein"
"PGF_08865288","Adenine-specific methyltransferase (EC 2.1.1.72)"
"PGF_00476202","hypothetical protein"
"PGF_00187568","hypothetical protein"
"PGF_00349588","Enterotoxin, A subunit (NAD(+)--diphthamide ADP- ribosyltransferase) (EC 2.4.2.36)"
"PGF_01627557","hypothetical protein"
"PGF_02620852","Two-component system sensor histidine kinase"
"PGF_07420062","Two-component transcriptional response regulator, OmpR family"
"PGF_02934499","Thiosulfate reductase cytochrome B subunit (membrane anchoring protein)"
"PGF_00415571","probable sufite oxidase (EC 1.8.3.1)"
"PGF_01651104","hypothetical protein"
"PGF_00400801","mRNA interferase RelE"
"PGF_00612337","RelE-like translational repressor toxin"
"PGF_00120013","hypothetical protein"
"PGF_04341758","deoxycytidylate deaminase-related protein"
"PGF_00761144","Antitoxin to RelE-like translational repressor toxin"
"PGF_02908774","Per-activated serine protease autotransporter enterotoxin EspC / autotransporter domain, T5aSS type secretion"
"PGF_00383747","hypothetical protein"
"PGF_00039836","Putative accessory processing protein"
"PGF_00160723","hypothetical protein"
"PGF_00086091","hypothetical protein"
"PGF_03123002","hypothetical protein"
"PGF_04370656","Chromosome (plasmid) partitioning protein ParA"
"PGF_00417920","Chromosome (plasmid) partitioning protein ParB"
"PGF_12955640","hypothetical protein"
"PGF_01625184","hypothetical protein"
"PGF_00411196","X polypeptide"
"PGF_00037960","Protein StbA"
"PGF_00357026","hypothetical protein"
"PGF_00124279","hypothetical protein"
"PGF_00214441","hypothetical protein"
"PGF_00422623","Death on curing protein, Doc toxin"
"PGF_01625510","hypothetical protein"
NA,"Mobile element protein"
"PGF_00168137","hypothetical protein"
"PGF_00863554","hypothetical protein"
"PGF_12820452","hypothetical protein"
"PGF_00081124","hypothetical protein"
"PGF_04180828","hypothetical protein"
"PGF_00377975","hypothetical protein"
"PGF_00061622","Insertion element IS110 (Streptomyces coelicolor) transposase"
"PGF_01625448","hypothetical protein"
"PGF_07744023","Arylsulfatase (EC 3.1.6.1)"
"PGF_03308125","Uncharacterized protein YaaY"
"PGF_01637722","Uncharacterized (possibly bogus) protein YaaV"
"PGF_03258027","Hypothetical protein Atu5398"
"PGF_07969468","Tripartite tricarboxylate transporter TctC family"
"PGF_03275428","Tripartite tricarboxylate transporter TctA family"
"PGF_08687465","hypothetical protein"
"PGF_07225933","Sugar diacid utilization regulator SdaR"
"PGF_00064317","UPF0325 protein YaeH"
"PGF_00064787","Uncharacterized lipoprotein yaeF precursor"
"PGF_01643708","hypothetical protein"
"PGF_00422452","DUF1440 domain-containing membrane protein"
"PGF_00257679","hypothetical protein"
"PGF_05053718","Putative oxidoreductase"
"PGF_07285706","Oxidoreductase, aldo/keto reductase family"
"PGF_01639670","hypothetical protein"
"PGF_04927434","Phosphate starvation-inducible protein PsiF"
"PGF_00038011","Protein YkiA"
"PGF_05949521","Protein translocase subunit SecD"
"PGF_00198295","hypothetical protein"
"PGF_06614457","Ammonium transporter"
"PGF_00309410","hypothetical protein"
"PGF_00419572","Copper resistance transcriptional regulator CueR (MerR family)"
"PGF_12846467","hypothetical protein"
"PGF_09978608","Transposase"
"PGF_00805014","Putative purine permease YbbY"
"PGF_02872756","Protease VII (Omptin) precursor (EC 3.4.23.49) @ Outer membrane protease OmpT"
"PGF_00053611","Spanin from lambdoid prophage DLP12, outer membrane subunit"
"PGF_00416506","Carbon starvation protein A"
"PGF_00017057","Lipid A palmitoyltransferase PagP (EC 2.3.1.251)"
"PGF_00067183","YVTN beta-propeller repeat-containing protein"
"PGF_00060719","Sodium-dependent anion transporter family"
"PGF_00045139","Putative transport protein"
"PGF_00679016","Dihydrodipicolinate synthase family protein APECO1_1389"
"PGF_01031211","D-threonate kinase"
"PGF_10311758","D-threonate 4-phosphate dehydrogenase [decarboxylating]"
"PGF_03056059","D-threonate utilization transcriptional regulator, LysR family"
"PGF_00023781","AbrB protein"
"PGF_00020956","Methylaspartate mutase, S subunit (EC 5.4.99.1)"
"PGF_00096321","hypothetical protein"
"PGF_02993534","Transcriptional regulator YbhD, LysR family"
"PGF_07559091","Phage transcriptional regulator cro"
"PGF_04803938","Phage protein NinF"
"PGF_01626773","Phage protein"
"PGF_00042469","Putative outer membrane protein"
"PGF_03939287","Phage antitermination protein Q"
"PGF_09458903","unknown protein encoded within prophage CP-933V"
"PGF_01647856","hypothetical protein"
"PGF_00044202","Putative structural protein"
"PGF_00065427","Uncharacterized protein YbhM"
"PGF_00808195","DNA protection during starvation protein"
"PGF_02140495","Phage protein"
"PGF_07781242","Phage repressor protein cI"
"PGF_04276647","Phage Cox (control of excision) protein"
"PGF_06610307","Phage Orf80 protein"
"PGF_10379472","Phage TraR/YbiI family protein"
"PGF_10302634","Phage DNA adenine methylase (EC 2.1.1.72)"
"PGF_06982152","hypothetical protein"
"PGF_02383496","Phage portal vertex protein GpQ"
"PGF_05926562","Phage head completion-stabilization protein GpL"
"PGF_00078053","Phage tail protein GpX"
"PGF_04604047","Phage tail completion protein GpR"
"PGF_01628440","hypothetical protein"
"PGF_03915685","Phage P2 GpE family protein"
"PGF_00668429","Macrolide export ATP-binding/permease protein MacB"
"PGF_00502502","Cold shock protein of CSP family => CspD (naming convention as in E.coli)"
"PGF_07652258","Leucine-responsive regulatory protein, regulator for leucine (or lrp) regulon and high-affinity branched-chain amino acid transport system"
"PGF_02918910","FIG001587: exported protein"
"PGF_03303394","Putative DNA-binding protein Erf"
"PGF_00031627","Phage DNA binding protein Roi"
"PGF_00032564","Phage protein"
"PGF_12923592","Putative inner membrane protein"
"PGF_07937889","Phage holin/antiholin component S"
"PGF_05212102","Phage head, head-tail preconnector protease C / Phage head, scaffolding domain Nu3"
"PGF_10365302","hypothetical protein"
"PGF_04243916","Phage tail fiber protein"
"PGF_10410763","Uncharacterized protein STM2137"
"PGF_00032494","Phage protein"
"PGF_00217641","hypothetical protein"
"PGF_06173986","hypothetical protein"
"PGF_00013211","ADP-ribose 1-phosphate phophatase related protein"
"PGF_00073595","hypothetical protein"
"PGF_00681362","Transposase InsN for insertion sequence element IS911"
"PGF_01626288","Clamp-binding protein paralog"
"PGF_03986505","Uncharacterized protein YjcZ paralog"
"PGF_00310873","hypothetical protein"
"PGF_10366955","hypothetical protein"
"PGF_00065626","Uncharacterized protein YmdF"
"PGF_00065442","Uncharacterized protein YceO"
"PGF_07235150","Peptidoglycan lipid II flippase MurJ"
"PGF_09675703","FIG001353: Acetyltransferase"
"PGF_12954884","Uncharacterized protein STM4317"
"PGF_00065790","Uncharacterized protein, YdfC family"
"PGF_00065465","Uncharacterized protein YdfB"
"PGF_00043452","Protein DicC, repressor of division inhibition gene dicB"
"PGF_00045608","Putative uncharacterized phage-associated protein, YdaW family"
"PGF_00399157","hypothetical protein"
"PGF_00039128","Putative ATP-binding protein"
"PGF_01624858","Antitoxin Rem"
"PGF_06688633","Toxin to Rem"
"PGF_00411947","Blue light- and temperature-regulated antirepressor BluF"
"PGF_00065634","Uncharacterized protein YmgC"
"PGF_00065635","Uncharacterized protein YmgD"
"PGF_05220786","Cell division topological specificity factor MinE"
"PGF_00039789","Putative TonB dependent outer membrane receptor"
"PGF_00022503","Molybdenum transport system protein ModD"
"PGF_00027259","Orf2"
"PGF_10300691","ABC transporter, ATP-binding protein (cluster 8, B12/iron complex)"
"PGF_08153726","ABC transporter, permease protein (cluster 8, B12/iron complex)"
"PGF_03694933","ABC transporter, substrate-binding protein (cluster 8, B12/iron complex)"
"PGF_00420853","3-oxoacyl-[acyl-carrier-protein] synthase (EC 2.3.1.41)"
"PGF_00003045","FIG036672: Nucleoside-diphosphate-sugar epimerase"
"PGF_10420457","MBL-fold metallo-hydrolase superfamily"
"PGF_00035699","Adenylate-forming enzyme"
"PGF_00051167","Ser/Thr and Tyr protein phosphatase (dual specificity)"
"PGF_10512754","Fatty acid hydroxylase family (carotene hydroxylase/sterol desaturase)"
"PGF_03972222","Linoleoyl-CoA desaturase (EC 1.14.19.3)"
"PGF_00327509","hypothetical protein"
"PGF_00230515","hypothetical protein"
"PGF_00300159","hypothetical protein"
"PGF_00047467","host killer protein"
"PGF_00065794","Uncharacterized protein, YdfR family"
"PGF_10554312","Phage head, terminase DNA packaging protein A"
"PGF_00303695","hypothetical protein"
"PGF_00102908","Phage conserved hypothetical protein, phiE125 gp8"
"PGF_00031773","Phage head-tail adapter"
"PGF_01786512","Phage protein"
"PGF_12730868","Phage fibritin (wac) protein"
"PGF_00032681","Phage tail assembly chaperone"
"PGF_10441750","hypothetical protein"
"PGF_00027212","Outer membrane protein W precursor"
"PGF_07182652","Transcriptional regulator, AcrR family"
"PGF_10509026","RND efflux system, membrane fusion protein"
"PGF_06982509","Efflux transport system, outer membrane factor (OMF) lipoprotein"
"PGF_06767689","Multidrug resistance transporter, Bcr/CflA family"
"PGF_02017142","Putative oxidoreductase"
"PGF_01671660","Transcriptional regulator, AraC family"
"PGF_09484084","Membrane fusion component of MSF-type tripartite multidrug efflux system"
"PGF_00036783","Probable DNA endonuclease SmrA"
"PGF_10462471","Putative Rhs-family protein"
"PGF_04534249","hypothetical protein"
"PGF_10462977","Nitrate/nitrite transporter NarU"
"PGF_03383443","Peroxiredoxin OsmC (EC 1.11.1.15)"
"PGF_02911703","chaperone FimC"
"PGF_02911992","Type-1 fimbrial protein, A chain"
"PGF_00021999","ATPase involved in DNA repair"
"PGF_00141667","hypothetical protein"
"PGF_03929969","Voltage-gated ClC-type chloride channel ClcB"
"PGF_02750511","Acid shock protein precursor"
"PGF_00043404","Uncharacterized serine protease YdgD"
"PGF_03352446","PTS system, maltose and glucose-specific IIC component / PTS system, maltose and glucose-specific IIB component (EC 2.7.1.208)"
"PGF_01387916","Inner membrane protein YdgK"
"PGF_01484108","Electron transport complex protein RnfG"
"PGF_04048555","UPF0118 inner membrane protein YdiK"
"PGF_00040278","Putative anti-FlhC(2)FlhD(4) factor YdiV"
"PGF_02282764","putative ATPase"
"PGF_00054451","Subtilisin-like serine proteases"
"PGF_00085614","hypothetical protein"
"PGF_00014289","2-nitroimidazole transporter NimT"
"PGF_01442793","Putative manganese efflux pump MntP"
"PGF_04150742","Zinc ABC transporter, permease protein ZnuB"
"PGF_03340039","Isochorismatase family protein YecD"
"PGF_00061888","Trimethylamine-N-oxide reductase (EC 1.7.2.3), TorZ"
"PGF_03295678","CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase (EC 2.7.8.5)"
"PGF_00111768","hypothetical protein"
"PGF_00055095","Protein-methionine-sulfoxide reductase catalytic subunit MsrP"
"PGF_00065496","Uncharacterized protein YeeL"
"PGF_03375088","Shikimate transporter"
"PGF_00368742","hypothetical protein"
"PGF_12826754","hypothetical protein"
"PGF_00184521","hypothetical protein"
"PGF_00317608","hypothetical protein"
"PGF_00147868","hypothetical protein"
"PGF_05425809","hypothetical protein"
"PGF_00034309","PilV-like protein"
"PGF_00303247","hypothetical protein"
"PGF_00037674","Propanediol utilization transcriptional activator"
"PGF_00037634","Propanediol diffusion facilitator"
"PGF_00037637","Propanediol utilization polyhedral body protein PduB"
"PGF_00037629","Propanediol dehydratase large subunit (EC 4.2.1.28)"
"PGF_00037630","Propanediol dehydratase medium subunit (EC 4.2.1.28)"
"PGF_00037631","Propanediol dehydratase reactivation factor large subunit"
"PGF_00037632","Propanediol dehydratase reactivation factor small subunit"
"PGF_00037639","Propanediol utilization polyhedral body protein PduJ"
"PGF_00020966","ATP:Cob(I)alamin adenosyltransferase (EC 2.5.1.17) @ ATP:Cob(I)alamin adenosyltransferase (EC 2.5.1.17), propanediol utilization / Uncharacterized conserved protein GlcG"
"PGF_00418181","CoA-acylating propionaldehyde dehydrogenase"
"PGF_00041783","Propanol dehydrogenase [NAD+]"
"PGF_00418250","Cob(III)alamin reductase @ Cob(II)alamin reductase"
"PGF_00037663","Propanediol utilization polyhedral body protein PduT"
"PGF_00037664","Propanediol utilization polyhedral body protein PduU"
"PGF_03926660","Inner membrane protein YeeA"
"PGF_00045708","Alpha-1,2-fucosyltransferase"
"PGF_01630037","hypothetical protein"
"PGF_01630235","hypothetical protein"
"PGF_09170204","Mannose-1-phosphate guanylyltransferase (EC 2.7.7.13) / Mannose-6-phosphate isomerase (EC 5.3.1.8)"
"PGF_00007078","Galactitol-1-phosphate 5-dehydrogenase (EC 1.1.1.251)"
"PGF_00029677","PTS system, galactitol-specific IIC component"
"PGF_00029672","PTS system, galactitol-specific IIB component (EC 2.7.1.200)"
"PGF_04724541","PTS system, galactitol-specific IIA component (EC 2.7.1.200)"
"PGF_00056007","Tagatose-6-phosphate kinase GatZ (EC 2.7.1.144)"
"PGF_00055989","Tagatose-1,6-bisphosphate aldolase GatY (EC 4.1.2.40)"
"PGF_02957598","Uncharacterized protein YehE"
"PGF_00065506","Uncharacterized protein YehI"
"PGF_00065508","Uncharacterized protein YehL"
"PGF_00065510","Uncharacterized protein YehM"
"PGF_00067307","YehP, CoxE-like von Willebrand factor type A (vWA) domain-containing protein"
"PGF_00065513","Uncharacterized protein YehQ"
"PGF_00064777","Uncharacterized lipoprotein YehR"
"PGF_00234272","hypothetical protein"
"PGF_02772091","Methylphosphotriester-DNA--protein-cysteine S-methyltransferase (EC 2.1.1.n11) / ADA regulatory protein / Methylated-DNA--protein-cysteine methyltransferase (EC 2.1.1.63)"
"PGF_00065540","Uncharacterized protein YfcI"
"PGF_00262768","hypothetical protein"
"PGF_00043351","Putative prophage CPS-53 integrase"
"PGF_01630031","hypothetical protein"
"PGF_01626594","hypothetical protein"
"PGF_03375877","DNA helicase (EC 3.6.4.12), phage-associated"
"PGF_00269011","Phage host-killing protein Kil"
"PGF_01650661","hypothetical protein"
"PGF_06667697","Sucrose permease, major facilitator superfamily"
"PGF_07085092","Fructokinase (EC 2.7.1.4)"
"PGF_09125277","beta-fructofuranosidase (EC 3.2.1.26)"
"PGF_00054579","Sucrose specific transcriptional regulator CscR, LacI family"
"PGF_01084675","Chloride channel protein"
"PGF_02871179","Mobile element protein"
"PGF_10429292","Helicase, SNF2/RAD54 family"
"PGF_00272040","hypothetical protein"
"PGF_07691576","DNA transposition protein Mup03, A"
"PGF_00084166","Phage replication initiation ATPase Mup04, B"
"PGF_03998953","hypothetical protein"
"PGF_00182815","hypothetical protein"
"PGF_01631931","hypothetical protein"
"PGF_00294143","hypothetical protein"
"PGF_01625804","hypothetical protein"
"PGF_03126180","hypothetical protein"
"PGF_00378877","hypothetical protein"
"PGF_12792860","Lysozyme (N-acetylmuramidase) family, (EC 3.2.1.17)"
"PGF_00192607","hypothetical protein"
"PGF_00878288","Phage protein"
"PGF_01645285","Phage protein Mup29, H"
"PGF_04567559","Phage virion morphogenesis protein Mup30, F"
"PGF_00945256","Phage virion morphogenesis protein Mup31, G"
"PGF_06349261","Phage protein Mup32, I"
"PGF_01250111","hypothetical protein"
"PGF_12920145","Phage major capsid protein"
"PGF_00143531","hypothetical protein"
"PGF_00249572","hypothetical protein"
"PGF_07424730","Phage protein Mup37, K"
"PGF_01625616","hypothetical protein"
"PGF_00057400","Transaldolase (EC 2.2.1.2)"
"PGF_00165617","hypothetical protein"
"PGF_00764596","hypothetical protein"
"PGF_02496099","Phage protein Mup47, W"
"PGF_00013698","AIDA autotransporter-like protein"
"PGF_00064779","Uncharacterized lipoprotein YfgH"
"PGF_08246702","hypothetical protein"
"PGF_00844000","hypothetical protein"
"PGF_12887489","Bacteriophage FIG01347168: hypothetical protein"
"PGF_02912269","Phage protein"
"PGF_06318577","Phage endopeptidase"
"PGF_08146772","hypothetical protein"
"PGF_07714840","hypothetical protein"
"PGF_10663175","putative repressor protein"
"PGF_02914555","GTG start codon"
"PGF_01951434","Transcriptional regulator in PFGI-1-like cluster"
"PGF_00068033","adherence and invasion outermembrane protein (Inv,enhances Peyer's patches colonization)"
"PGF_00286551","hypothetical protein"
"PGF_00105294","hypothetical protein"
"PGF_10373331","Holo-[acyl-carrier-protein] synthase (EC 2.7.8.7)"
"PGF_03326496","Putative outer membrane lipoprotein"
"PGF_00032855","Phage protein Ogr"
"PGF_12799571","hypothetical protein"
"PGF_00111537","hypothetical protein"
"PGF_03056193","hypothetical protein"
"PGF_00012902","Hydroxyaromatic non-oxidative decarboxylase protein D (EC 4.1.1.-)"
"PGF_00012901","Hydroxyaromatic non-oxidative decarboxylase protein C (EC 4.1.1.-)"
"PGF_03299849","Hydroxyaromatic non-oxidative decarboxylase protein B (EC 4.1.1.-)"
"PGF_03993306","Hok/Gef-like protein"
